timestamp,symbol,open,high,low,close,volume
2026-03-09 12:00:00+00:00,MSFT,404.99,404.99,404.99,404.99,110
2026-03-09 12:00:00+00:00,PFE,26.87,26.88,26.86,26.86,600
2026-03-09 12:00:00+00:00,SPY,666.31,666.31,666.31,666.31,130
2026-03-09 12:15:00+00:00,PFE,26.87,26.9,26.87,26.88,1033
2026-03-09 12:15:00+00:00,SPY,666.63,667.23,666.61,667.21,989
2026-03-09 12:30:00+00:00,NVDA,176.36,176.36,176.36,176.36,250
2026-03-09 12:30:00+00:00,PFE,26.87,26.87,26.8,26.82,900
2026-03-09 12:30:00+00:00,SPY,666.93,666.93,665.01,665.01,590
2026-03-09 12:30:00+00:00,GLD,469.75,469.75,469.55,469.55,184
2026-03-09 12:45:00+00:00,SPY,665.12,665.19,664.92,665.19,1600
2026-03-09 13:00:00+00:00,PFE,26.78,26.82,26.78,26.82,1304
2026-03-09 13:00:00+00:00,SPY,665.95,666.25,665.52,666.25,210
2026-03-09 13:00:00+00:00,GLD,468.02,468.02,468.02,468.02,90
2026-03-09 13:15:00+00:00,NVDA,176.66,176.66,176.66,176.66,100
2026-03-09 13:15:00+00:00,PFE,26.8,26.91,26.77,26.86,1702
2026-03-09 13:15:00+00:00,SPY,666.22,666.22,665.94,666.1,280
2026-03-09 13:15:00+00:00,AAPL,254.74,255.2,254.74,255.2,625
2026-03-09 13:30:00+00:00,AMZN,210.51,212.27,208.7,209.11,119686
2026-03-09 13:30:00+00:00,JNJ,241.115,241.78,240.46,241.78,14422
2026-03-09 13:30:00+00:00,MSFT,404.67,408.4,403.77,404.725,72781
2026-03-09 13:30:00+00:00,SPY,666.38,667.51,663.665,664.36,121971
2026-03-09 13:30:00+00:00,NVDA,176.815,178.12,175.63,176.11,357885
2026-03-09 13:30:00+00:00,AAPL,255.69,256.945,253.72,254.89,90584
2026-03-09 13:30:00+00:00,GLD,468.08,469.54,466.2,466.34,16427
2026-03-09 13:30:00+00:00,PFE,26.945,27.105,26.86,26.96,182465
2026-03-09 13:30:00+00:00,XOM,151.97,152.38,149.66,152.08,51774
2026-03-09 13:30:00+00:00,JPM,286.065,287.055,283.96,284.17,13939
2026-03-09 13:45:00+00:00,XOM,152.13,152.855,151.77,152.855,39948
2026-03-09 13:45:00+00:00,NVDA,176.09,177.285,175.56,176.89,229849
2026-03-09 13:45:00+00:00,AAPL,254.96,256.31,254.69,255.765,72647
2026-03-09 13:45:00+00:00,PFE,26.95,26.96,26.645,26.69,123596
2026-03-09 13:45:00+00:00,GLD,466.27,467.1,465.55,466.28,10177
2026-03-09 13:45:00+00:00,JPM,284.39,284.47,281.64,281.775,16270
2026-03-09 13:45:00+00:00,SPY,664.12,664.91,662.74,663.97,97068
2026-03-09 13:45:00+00:00,JNJ,241.585,241.96,240.975,241.725,12911
2026-03-09 13:45:00+00:00,MSFT,404.725,405.85,403.56,405.45,51231
2026-03-09 13:45:00+00:00,AMZN,209.215,209.25,207.41,207.46,243945
2026-03-09 14:00:00+00:00,AMZN,207.42,208.925,207.15,208.37,143818
2026-03-09 14:00:00+00:00,JPM,281.67,282.255,280.54,280.955,12789
2026-03-09 14:00:00+00:00,JNJ,241.725,241.725,240.2,241.065,7678
2026-03-09 14:00:00+00:00,SPY,664.06,665.94,662.42,663.16,121756
2026-03-09 14:00:00+00:00,GLD,466.27,467.34,464.86,465.98,23116
2026-03-09 14:00:00+00:00,AAPL,255.65,256.57,255.585,256.115,50944
2026-03-09 14:00:00+00:00,XOM,152.905,153.06,152.32,152.36,56713
2026-03-09 14:00:00+00:00,NVDA,176.88,178.005,176.26,176.97,220619
2026-03-09 14:00:00+00:00,MSFT,405.43,407.63,404.26,405.13,35142
2026-03-09 14:00:00+00:00,PFE,26.69,26.72,26.49,26.5,112118
2026-03-09 14:15:00+00:00,AMZN,208.515,209.96,208.44,209.04,89546
2026-03-09 14:15:00+00:00,JPM,281.33,282.67,280.665,281.93,16175
2026-03-09 14:15:00+00:00,JNJ,241.3,241.325,240.53,240.57,10910
2026-03-09 14:15:00+00:00,GLD,465.96,467.02,465.4,466.88,7630
2026-03-09 14:15:00+00:00,SPY,663.14,665.61,662.87,663.97,87200
2026-03-09 14:15:00+00:00,PFE,26.5,26.5,26.385,26.395,74063
2026-03-09 14:15:00+00:00,XOM,152.28,153.0,151.99,152.75,53534
2026-03-09 14:15:00+00:00,NVDA,176.97,178.5,176.85,178.13,242269
2026-03-09 14:15:00+00:00,MSFT,405.0,406.29,404.17,404.98,32746
2026-03-09 14:15:00+00:00,AAPL,256.165,256.875,255.51,255.69,46310
2026-03-09 14:30:00+00:00,PFE,26.39,26.45,26.355,26.41,198516
2026-03-09 14:30:00+00:00,GLD,466.82,469.89,466.78,469.8,4465
2026-03-09 14:30:00+00:00,NVDA,178.11,179.085,178.07,179.06,318660
2026-03-09 14:30:00+00:00,SPY,664.09,666.88,664.09,666.88,71374
2026-03-09 14:30:00+00:00,JNJ,240.57,241.05,240.48,240.48,5752
2026-03-09 14:30:00+00:00,XOM,152.76,153.465,152.64,153.28,51549
2026-03-09 14:30:00+00:00,MSFT,405.07,406.715,404.77,406.5,29454
2026-03-09 14:30:00+00:00,JPM,282.31,282.375,281.205,281.68,14190
2026-03-09 14:30:00+00:00,AMZN,209.03,210.33,208.88,210.23,78826
2026-03-09 14:30:00+00:00,AAPL,255.71,257.05,255.66,257.05,55848
2026-03-09 14:45:00+00:00,PFE,26.41,26.57,26.395,26.505,156785
2026-03-09 14:45:00+00:00,MSFT,406.6,408.64,406.6,407.53,33250
2026-03-09 14:45:00+00:00,SPY,666.91,668.31,666.76,667.58,60485
2026-03-09 14:45:00+00:00,AMZN,210.34,210.64,209.71,209.99,113066
2026-03-09 14:45:00+00:00,JPM,281.575,282.68,281.13,282.11,17289
2026-03-09 14:45:00+00:00,AAPL,257.02,257.85,257.0,257.32,39533
2026-03-09 14:45:00+00:00,JNJ,240.64,241.595,240.545,241.485,6365
2026-03-09 14:45:00+00:00,GLD,469.05,469.09,467.39,468.02,5010
2026-03-09 14:45:00+00:00,XOM,153.32,153.875,153.03,153.475,29622
2026-03-09 14:45:00+00:00,NVDA,179.06,179.33,178.69,178.73,244286
2026-03-09 15:00:00+00:00,MSFT,407.495,408.18,406.71,408.18,45203
2026-03-09 15:00:00+00:00,AAPL,257.32,257.48,256.98,257.19,33951
2026-03-09 15:00:00+00:00,SPY,667.78,668.78,667.75,668.62,50374
2026-03-09 15:00:00+00:00,GLD,467.98,467.98,466.74,467.58,7206
2026-03-09 15:00:00+00:00,XOM,153.42,153.43,152.175,152.65,28548
2026-03-09 15:00:00+00:00,JPM,282.2,283.285,282.12,282.84,13581
2026-03-09 15:00:00+00:00,PFE,26.515,26.675,26.48,26.65,146425
2026-03-09 15:00:00+00:00,AMZN,209.99,210.78,209.52,210.095,98812
2026-03-09 15:00:00+00:00,NVDA,178.76,179.46,178.76,178.975,119932
2026-03-09 15:00:00+00:00,JNJ,241.51,242.22,241.415,241.92,9162
2026-03-09 15:15:00+00:00,PFE,26.655,26.675,26.61,26.67,72448
2026-03-09 15:15:00+00:00,JPM,282.865,284.105,282.535,284.08,18148
2026-03-09 15:15:00+00:00,NVDA,179.17,179.39,178.66,179.17,98817
2026-03-09 15:15:00+00:00,AMZN,210.21,210.85,210.13,210.565,77504
2026-03-09 15:15:00+00:00,MSFT,408.39,409.155,408.17,408.6,40392
2026-03-09 15:15:00+00:00,SPY,668.89,669.9,668.43,669.76,61383
2026-03-09 15:15:00+00:00,AAPL,257.475,257.76,257.22,257.73,33997
2026-03-09 15:15:00+00:00,JNJ,242.04,242.55,242.02,242.36,6488
